Fiscal Year,Service,Department Name,Division Name,Category,Description,Amount,Fund
2015,General Government,Employee Benefits,Collective Bargaining,Travel and Training,Judgments,30000.00,General Fund
2015,General Government,Employee Benefits,Other Post Employment Benefits,Salaries and Wages,Health Insurance,2000000.00,General Fund
2015,General Government,Executive,Executive,Salaries and Wages,Dental Insurance,11700.00,General Fund
2015,General Government,Executive,Executive,Salaries and Wages,Health Insurance,243850.00,General Fund
2015,General Government,Executive,Executive,Salaries and Wages,Longevity Salaries\Wages,6000.00,General Fund
2015,General Government,Executive,Executive,Salaries and Wages,Medicare,12600.00,General Fund
2015,General Government,Executive,Executive,Other Ordinary Maintenance,Administration & Gen Supplies,10250.00,General Fund
2015,General Government,Executive,Executive,Other Ordinary Maintenance,Food and Food Service Supplies,5500.00,General Fund
2015,General Government,Executive,Executive,Other Ordinary Maintenance,Other Purchased Services,2500.00,General Fund
2015,General Government,Executive,Executive,Other Ordinary Maintenance,Other Supplies,3000.00,General Fund
2015,General Government,Executive,Executive,Other Ordinary Maintenance,Professional and Technical Services,444000.00,General Fund
2015,General Government,Executive,Executive,Travel and Training,Dues & Subscriptions,29020.00,General Fund
2015,General Government,Executive,Executive,Travel and Training,Travel and Training  (Out of State),11780.00,General Fund
2015,General Government,Executive,Executive,Travel and Training,Travel and Training  (In State),400.00,General Fund
2015,General Government,Finance,Administration,Salaries and Wages,Dental Insurance,2340.00,General Fund
2015,General Government,Finance,Administration,Salaries and Wages,Health Insurance,60500.00,General Fund
2015,General Government,Finance,Administration,Salaries and Wages,Longevity Salaries\Wages,2000.00,General Fund
2015,General Government,Finance,Administration,Salaries and Wages,Medicare,970.00,General Fund
2015,General Government,Finance,Administration,Salaries and Wages,Misc. Additional Comp,2000.00,General Fund
2015,General Government,Finance,Administration,Salaries and Wages,Pensions,21400.00,General Fund
2015,General Government,Finance,Administration,Salaries and Wages,Permanent Salaries/Wages,245375.00,General Fund
2015,General Government,Finance,Administration,Other Ordinary Maintenance,Administration & Gen Supplies,800.00,General Fund
2015,General Government,Finance,Administration,Other Ordinary Maintenance,Communication,480.00,General Fund
2015,General Government,Finance,Administration,Other Ordinary Maintenance,Other Supplies,1170.00,General Fund
2015,General Government,Finance,Administration,Other Ordinary Maintenance,Professional and Technical Services,300800.00,General Fund
2015,General Government,Finance,Administration,Travel and Training,Dues & Subscriptions,1500.00,General Fund
2015,General Government,Finance,Administration,Travel and Training,Travel and Training  (Out of State),1500.00,General Fund
2015,General Government,Finance,Administration,Travel and Training,Travel and Training  (In State),500.00,General Fund
2015,General Government,Finance,Budget,Salaries and Wages,Dental Insurance,4680.00,General Fund
2015,General Government,Finance,Budget,Salaries and Wages,Health Insurance,63700.00,General Fund
2015,General Government,Finance,Budget,Salaries and Wages,Misc. Additional Comp,4000.00,General Fund
2015,General Government,Finance,Budget,Salaries and Wages,Pensions,42800.00,General Fund
2015,General Government,Finance,Budget,Salaries and Wages,Permanent Salaries/Wages,386390.00,General Fund
2015,General Government,Finance,Budget,Salaries and Wages,Temporary Salaries/Wages,1500.00,General Fund
2015,General Government,Finance,Budget,Other Ordinary Maintenance,Administration & Gen Supplies,3500.00,General Fund
2015,General Government,Finance,Budget,Other Ordinary Maintenance,Communication,28000.00,General Fund
2015,General Government,Finance,Budget,Other Ordinary Maintenance,Professional and Technical Services,50000.00,General Fund
2015,General Government,Finance,Budget,Travel and Training,Dues & Subscriptions,1100.00,General Fund
2015,General Government,Finance,Budget,Travel and Training,Travel and Training  (Out of State),3000.00,General Fund
2015,General Government,Finance,Budget,Travel and Training,Travel and Training  (In State),1000.00,General Fund
2015,General Government,Finance,Personnel,Salaries and Wages,Dental Insurance,15210.00,General Fund
2015,General Government,Finance,Personnel,Salaries and Wages,Health Insurance,247050.00,General Fund
2015,General Government,Finance,Personnel,Salaries and Wages,Longevity Salaries\Wages,4600.00,General Fund
2015,General Government,Finance,Personnel,Salaries and Wages,Medicare,11965.00,General Fund
2015,General Government,Finance,Personnel,Salaries and Wages,Misc. Additional Comp,13000.00,General Fund
2015,General Government,Finance,Personnel,Salaries and Wages,Pensions,139100.00,General Fund
2015,General Government,Finance,Personnel,Salaries and Wages,Permanent Salaries/Wages,969825.00,General Fund
2015,General Government,Finance,Personnel,Salaries and Wages,Temporary Salaries/Wages,22185.00,General Fund
2015,General Government,Finance,Personnel,Other Ordinary Maintenance,Administration & Gen Supplies,12500.00,General Fund
2015,General Government,Finance,Personnel,Other Ordinary Maintenance,Communication,1200.00,General Fund
2015,General Government,Finance,Personnel,Other Ordinary Maintenance,Other Purchased Services,91350.00,General Fund
2015,General Government,Finance,Personnel,Other Ordinary Maintenance,Other Supplies,2500.00,General Fund
2015,General Government,Finance,Personnel,Other Ordinary Maintenance,Professional and Technical Services,497000.00,General Fund
2015,General Government,Finance,Personnel,Other Ordinary Maintenance,Repairs and Maint - Supplies,1700.00,General Fund
2015,General Government,Finance,Personnel,Travel and Training,Dues & Subscriptions,14500.00,General Fund
2015,General Government,Finance,Personnel,Travel and Training,Judgments,55000.00,General Fund
2015,General Government,Finance,Personnel,Travel and Training,Travel and Training  (Out of State),30000.00,General Fund
2015,General Government,Finance,Personnel,Travel and Training,Travel and Training  (In State),70000.00,General Fund
2015,General Government,Finance,Assessors,Salaries and Wages,Dental Insurance,16800.00,General Fund
2015,General Government,Finance,Assessors,Salaries and Wages,Health Insurance,297100.00,General Fund
2015,General Government,Finance,Assessors,Salaries and Wages,Longevity Salaries\Wages,5000.00,General Fund
2015,General Government,Finance,Assessors,Salaries and Wages,Medicare,16085.00,General Fund
2015,General Government,Finance,Assessors,Salaries and Wages,Misc. Additional Comp,14170.00,General Fund
2015,General Government,Finance,Assessors,Salaries and Wages,Overtime Salaries/Wages,10000.00,General Fund
2015,General Government,Finance,Assessors,Salaries and Wages,Pensions,149800.00,General Fund
2015,General Government,Finance,Assessors,Salaries and Wages,Permanent Salaries/Wages,1164865.00,General Fund
2015,General Government,Finance,Assessors,Salaries and Wages,Temporary Salaries/Wages,45000.00,General Fund
2015,General Government,Finance,Assessors,Other Ordinary Maintenance,Administration & Gen Supplies,24265.00,General Fund
2015,General Government,Finance,Assessors,Other Ordinary Maintenance,Communication,12500.00,General Fund
2015,General Government,Finance,Assessors,Other Ordinary Maintenance,Professional and Technical Services,497500.00,General Fund
2015,General Government,Finance,Assessors,Travel and Training,Dues & Subscriptions,5000.00,General Fund
2015,General Government,Finance,Assessors,Travel and Training,Travel and Training  (Out of State),3650.00,General Fund
2015,General Government,Finance,Assessors,Travel and Training,Travel and Training  (In State),5750.00,General Fund
2015,General Government,Finance,Assessors,Extraordinary Expenditures,Additional Equipment,2800.00,General Fund
2015,General Government,Finance,Purchasing,Salaries and Wages,Dental Insurance,9870.00,General Fund
2015,General Government,Finance,Purchasing,Salaries and Wages,Health Insurance,153100.00,General Fund
2015,General Government,Finance,Purchasing,Salaries and Wages,Medicare,7740.00,General Fund
2015,General Government,Finance,Purchasing,Salaries and Wages,Misc. Additional Comp,4925.00,General Fund
2015,General Government,Finance,Purchasing,Salaries and Wages,Pensions,74900.00,General Fund
2015,General Government,Finance,Purchasing,Salaries and Wages,Permanent Salaries/Wages,513560.00,General Fund
2015,General Government,Finance,Purchasing,Salaries and Wages,Temporary Salaries/Wages,15000.00,General Fund
2015,General Government,Finance,Purchasing,Other Ordinary Maintenance,Administration & Gen Supplies,6000.00,General Fund
2015,General Government,Finance,Purchasing,Other Ordinary Maintenance,Communication,7900.00,General Fund
2015,General Government,Finance,Purchasing,Other Ordinary Maintenance,Food and Food Service Supplies,380.00,General Fund
2015,General Government,Finance,Purchasing,Other Ordinary Maintenance,Other Purchased Services,4000.00,General Fund
2015,General Government,Finance,Purchasing,Other Ordinary Maintenance,Other Supplies,525.00,General Fund
2015,General Government,Finance,Purchasing,Other Ordinary Maintenance,Professional and Technical Services,3500.00,General Fund
2015,General Government,Finance,Purchasing,Travel and Training,Dues & Subscriptions,850.00,General Fund
2015,General Government,Finance,Purchasing,Travel and Training,Travel and Training  (Out of State),1000.00,General Fund
2015,General Government,Finance,Purchasing,Travel and Training,Travel and Training  (In State),45.00,General Fund
2015,General Government,Finance,Auditing,Salaries and Wages,Dental Insurance,10620.00,General Fund
